file,role,cv,transition,rhythm_jaccard,same_rhythm_mask,sound_same,sound_added,sound_removed,delta_notes_per_bar,delta_onsets_per_bar,delta_velocity_p50,delta_velocity_p90,delta_register_width,delta_polyphony_mean,delta_fine_subdivision_fraction,delta_offbeat_8th_fraction,delta_strum_fraction,delta_staccato_fraction,delta_legato_overlap_fraction
Factory Styles/70's Disco 1.mid,ACC3,1,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/70's Disco 1.mid,ACC4,1,V2->V3,0.3333333333333333,False,True,0,0,0.75,0.0,9.0,-12.0,12,1.0,0.0,0.33333,0.0,0.0,0.0
Factory Styles/70's Disco 1.mid,ACC4,1,V3->V4,0.2857142857142857,False,False,1,1,6.75,4.0,3.0,9.0,4,-1.9473699999999998,0.0,0.10257,0.0,-0.04286000000000001,0.25714
Factory Styles/70's Disco 1.mid,ACC2,1,V3->V4,0.2,False,False,1,1,4.5,2.25,52.0,57.0,12,0.0,0.0,0.2,0.0,0.11111,0.38889
Factory Styles/70's Disco 2.mid,DRUM,1,V1->V2,0.8125,False,True,0,0,-10.875,-4.625,48.0,0.0,-54,-0.21480999999999995,0.0,-0.08631999999999998,-0.03125,-0.2865599999999999,0.28656000000000004
Factory Styles/70's Disco 2.mid,DRUM,1,V2->V3,0.9285714285714286,False,True,0,0,-2.75,-2.5,-14.0,0.0,18,0.052769999999999984,0.02548,0.038569999999999965,0.0102,0.37893,-0.40457
Factory Styles/70's Disco 2.mid,DRUM,1,V3->V4,0.6428571428571429,False,True,0,0,-0.625,-1.0,20.0,0.0,-17,0.06458000000000008,-0.02548,0.007330000000000031,-0.0102,-0.49240000000000006,0.5180400000000001
Factory Styles/70's Disco 2.mid,PERC,1,V1->V2,0.16666666666666666,False,True,0,0,18.5,14.5,-12.0,-10.0,-16,0.2623,0.23377,0.38961,0.125,-0.37908,0.24837
Factory Styles/70's Disco 2.mid,PERC,1,V2->V3,0.5263157894736842,False,True,0,0,-2.25,0.25,9.0,10.0,3,-0.16552999999999995,0.17799,-0.21314000000000002,-0.08333,0.26056,-0.15948
Factory Styles/70's Disco 2.mid,BASS,1,V1->V2,1.0,True,False,1,1,0.0,0.0,-10.0,0.0,5,0.0,0.0,0.0,0.0,-0.6190499999999999,0.4127
Factory Styles/70's Disco 2.mid,BASS,1,V2->V3,0.8,False,True,0,0,0.25,0.25,4.0,16.0,7,0.0,0.0,-0.015149999999999941,0.0,0.11478,-0.12039
Factory Styles/70's Disco 2.mid,BASS,1,V3->V4,0.75,False,False,1,1,1.5,1.5,16.0,-10.0,-17,0.0,0.0,-0.07458999999999999,0.0,0.26472999999999997,-0.29231
Factory Styles/70's Disco 2.mid,ACC1,1,V1->V2,0.2,False,False,1,1,0.125,-0.375,1.0,4.0,0,0.90909,0.0,0.41303999999999996,0.0,0.0,0.0
Factory Styles/70's Disco 2.mid,ACC1,1,V2->V3,0.25,False,True,0,0,1.75,2.125,9.0,15.200000000000017,3,-1.48,0.07895,-0.26316,0.0,0.31429,-0.6571400000000001
Factory Styles/70's Disco 2.mid,ACC1,1,V3->V4,0.2222222222222222,False,True,0,0,-1.0,-1.875,-4.0,-19.200000000000017,-6,1.48,-0.07895,-0.23684,0.0,-0.20318000000000003,-0.12064
Factory Styles/70's Disco 2.mid,ACC2,1,V1->V2,0.3181818181818182,False,False,1,1,18.875,11.625,-7.0,-6.0,-1,0.43939000000000017,-0.11363000000000004,0.08892999999999998,0.025970000000000003,0.03452999999999995,0.38095
Factory Styles/70's Disco 2.mid,ACC2,1,V2->V3,0.34615384615384615,False,False,1,1,-11.375,-6.875,7.0,0.0,8,-0.15368000000000026,0.10430999999999999,-0.07649999999999998,0.14424,-0.009830000000000005,-0.013600000000000056
Factory Styles/70's Disco 2.mid,ACC2,1,V3->V4,0.2916666666666667,False,False,1,1,10.0,4.75,-1.0,-3.199999999999932,31,0.27081,-0.17217,0.13769,-0.17021,-0.15775999999999996,0.13265000000000005
Factory Styles/70's Disco 2.mid,ACC3,1,V1->V2,0.6363636363636364,False,True,0,0,2.75,0.875,18.0,21.0,-10,0.6521699999999999,0.042760000000000006,0.21711000000000003,0.0,0.33333,-0.88889
Factory Styles/70's Disco 2.mid,ACC3,1,V2->V3,0.3,False,True,0,0,-1.0,0.375,-10.0,-18.0,0,-0.4983199999999999,0.32807,-0.24211000000000002,0.0,-0.33333,0.75096
Factory Styles/70's Disco 2.mid,ACC3,1,V3->V4,0.3157894736842105,False,True,0,0,-0.75,-1.5,-4.0,-4.0,-2,0.56044,-0.43333,0.06667000000000001,0.0,0.09091,-0.22570999999999997
Factory Styles/70's Disco 2.mid,ACC4,1,V2->V3,1.0,True,True,0,0,0.0,0.0,3.0,-8.0,0,0.0,0.0,0.0,0.0,0.0,0.75
