instrument_profile_id,msb,lsb,program,sound,role,family,origin,support_grade,stability,routing,protected,eligible_defects,controller_guards,grouped_proxy_models,unknown_count
NIP-ffdd8650a8fdfcc2fc43,121,32,4,Detuned EP 1,ACC1,PIANO,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,7
NIP-2ceb7feb74cdc8268dbc,121,32,4,Studio EP,ACC4,PIANO,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,7
NIP-8bfc529a9d035d8071db,121,32,4,Vintage EP,ACC1,PIANO,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,5
NIP-7117b8842e135089ec25,121,32,5,EP Phase,ACC1,PIANO,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,8
NIP-2a596ef950ab4b610d4c,121,32,16,Tibia Vox Glock,ACC1,ORGAN,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,,,6
NIP-d419bbb79513b0ea9058,121,32,18,BX3 Rock 3 V.,ACC4,ORGAN,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,,,7
NIP-e2b0205721fe8c5e92fe,121,32,21,Sweet Musette,ACC4,ACCORDION_REED,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,8
NIP-58ac9c6ecd4139af03d7,121,32,24,Nylon Gtr Pro2,ACC4,GUITAR,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,4
NIP-2051b455001c97489338,121,32,24,Nylon Slide Pro,ACC2,GUITAR,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,10
NIP-d981f0df452a70acf09b,121,32,24,Real Nylon Gtr,ACC2,GUITAR,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,7
