msb,lsb,program,kit,key,hits,styles,v_absmin,v_workmin,v_idealmin,v_center,v_idealmax,v_workmax,v_absmax,dur_center,top_positions
120,0,125,Brush Kit 1,42,1043,7,15.0,55.0,78.0,92.0,101.0,110.0,127.0,2.0,"[[0,505],[96,384],[132,42],[144,30],[156,22],[48,21],[168,20],[60,15]]"
120,0,48,Orchestra Kit GM,36,1039,5,44.0,72.0,80.0,88.0,105.0,113.0,127.0,27.0,"[[0,906],[96,76],[132,28],[12,6],[144,4],[60,4],[156,4],[120,3]]"
120,0,66,Trinity Perc.Kit,59,1033,1,15.0,16.0,27.0,32.0,67.0,77.0,115.0,1.0,"[[0,272],[96,271],[144,249],[48,234],[72,2],[120,2],[168,2],[24,1]]"
120,0,27,House Kit 2,42,1027,5,25.0,31.0,38.0,90.0,109.0,114.0,127.0,1.0,"[[60,332],[156,275],[0,264],[96,101],[144,39],[48,16]]"
120,0,125,Brush Kit 1,44,1008,10,37.0,60.0,66.0,71.0,82.0,108.0,127.0,1.0,"[[96,505],[0,256],[156,115],[48,54],[144,32],[12,19],[72,15],[132,8]]"
120,0,64,Percussion Kit,14,1004,1,38.0,64.0,73.0,82.0,111.0,116.0,127.0,26.0,"[[96,364],[0,252],[48,186],[144,186],[36,6],[60,6],[132,2],[156,2]]"
120,0,30,House Kit RX1,70,999,4,56.0,62.0,74.0,84.0,101.0,116.0,127.0,1.0,"[[96,400],[0,391],[48,94],[144,94],[60,20]]"
120,0,30,House Kit RX1,38,998,9,38.0,66.7,82.0,111.0,124.0,127.0,127.0,1.0,"[[0,609],[60,146],[156,93],[96,68],[144,29],[48,17],[168,11],[24,9]]"
120,0,35,Jazz Kit RX3,42,990,3,49.0,52.0,54.0,61.0,107.0,127.0,127.0,1.0,"[[0,337],[96,249],[60,208],[156,169],[144,13],[120,7],[168,7]]"
120,0,48,Orchestra Kit GM,40,977,4,2.0,39.0,60.0,82.0,101.0,117.0,127.0,25.0,"[[96,463],[0,218],[144,210],[48,62],[156,6],[60,6],[12,4],[132,4]]"
120,0,66,Trinity Perc.Kit,40,977,4,37.0,57.0,67.0,76.0,89.0,95.0,115.0,21.0,"[[0,294],[60,261],[156,201],[96,180],[48,20],[144,15],[120,3],[168,3]]"
120,0,28,House Kit 3,42,973,7,37.0,51.0,55.0,78.0,112.0,127.0,127.0,14.0,"[[96,528],[0,161],[144,122],[48,121],[156,11],[108,8],[12,8],[60,8]]"
120,0,64,Percussion Kit,18,964,10,41.0,80.0,85.0,90.0,99.0,111.0,114.0,58.0,"[[0,648],[96,300],[108,8],[12,4],[132,4]]"
120,0,66,Trinity Perc.Kit,84,963,6,29.0,29.0,37.0,58.0,68.0,96.0,108.0,2.0,"[[0,366],[96,352],[144,199],[48,34],[84,4],[180,4],[12,4]]"
120,0,67,i30 Perc. Kit,46,960,3,18.0,28.0,40.0,65.0,68.0,69.0,87.0,2.0,"[[96,389],[0,297],[48,122],[144,74],[156,62],[60,14],[132,2]]"
